MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,EXC
5,LIVE
6,LIVE
7,LIVE
8,EXC
9,LIVE
10,EXC
11,LIVE
12,LIVE
13,LIVE
14,EXC
15,LIVE
16,LIVE
17,LIVE
18,FAIL
19,LIVE
20,LIVE
21,LIVE
22,EXC
23,LIVE
24,LIVE
25,EXC
26,EXC
27,LIVE
28,LIVE
29,EXC
30,EXC
31,EXC
32,FAIL
33,LIVE
34,LIVE
41,EXC
42,EXC
43,LIVE
44,LIVE
45,LIVE
46,EXC
47,LIVE
48,LIVE
49,LIVE
50,FAIL
51,LIVE
60,FAIL
61,FAIL
62,EXC
63,EXC
64,FAIL
65,EXC
66,EXC
67,LIVE
68,FAIL
69,EXC
70,FAIL
71,EXC
72,FAIL
73,EXC
74,FAIL
75,EXC
76,EXC
77,EXC
78,FAIL
79,EXC
