MutantNo,[FAIL | TIME | EXC | LIVE]
2,FAIL
3,EXC
4,LIVE
5,EXC
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,LIVE
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,EXC
22,EXC
23,FAIL
24,FAIL
25,FAIL
26,EXC
27,EXC
28,FAIL
29,EXC
30,FAIL
31,FAIL
32,FAIL
33,EXC
34,FAIL
35,FAIL
36,LIVE
37,LIVE
38,LIVE
39,FAIL
40,FAIL
41,LIVE
42,LIVE
43,EXC
44,EXC
45,FAIL
46,EXC
47,EXC
48,EXC
49,LIVE
50,LIVE
51,EXC
52,EXC
53,EXC
54,FAIL
55,FAIL
56,EXC
57,FAIL
58,FAIL
59,EXC
60,LIVE
61,EXC
62,EXC
63,FAIL
64,LIVE
65,EXC
66,FAIL
67,EXC
68,LIVE
69,FAIL
70,EXC
71,FAIL
72,FAIL
73,EXC
74,FAIL
75,FAIL
76,LIVE
77,EXC
78,FAIL
79,EXC
80,EXC
81,FAIL
82,EXC
83,LIVE
84,FAIL
85,LIVE
86,FAIL
87,FAIL
88,EXC
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,FAIL
95,FAIL
96,FAIL
97,EXC
98,FAIL
99,FAIL
100,EXC
101,FAIL
102,EXC
103,LIVE
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,LIVE
109,EXC
110,FAIL
113,FAIL
114,LIVE
115,FAIL
116,EXC
117,EXC
118,EXC
119,EXC
120,EXC
121,EXC
122,EXC
123,LIVE
124,LIVE
125,EXC
126,FAIL
127,FAIL
128,FAIL
129,FAIL
130,EXC
131,EXC
132,FAIL
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,EXC
139,EXC
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,EXC
146,FAIL
147,FAIL
148,EXC
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,LIVE
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,LIVE
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,EXC
181,FAIL
182,FAIL
183,FAIL
184,FAIL
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,FAIL
190,EXC
191,EXC
192,EXC
193,EXC
194,FAIL
195,EXC
196,EXC
197,EXC
198,FAIL
199,FAIL
200,LIVE
201,FAIL
202,FAIL
203,FAIL
204,EXC
205,EXC
206,EXC
207,LIVE
208,FAIL
209,FAIL
210,LIVE
211,FAIL
212,FAIL
213,FAIL
214,FAIL
215,FAIL
216,LIVE
217,FAIL
218,LIVE
219,LIVE
220,LIVE
221,LIVE
222,LIVE
223,LIVE
224,LIVE
225,EXC
226,LIVE
227,LIVE
228,EXC
229,EXC
230,EXC
231,EXC
232,EXC
233,EXC
234,FAIL
235,EXC
236,EXC
237,EXC
238,LIVE
239,LIVE
240,FAIL
241,LIVE
242,LIVE
243,FAIL
244,LIVE
245,EXC
246,LIVE
247,FAIL
248,EXC
249,EXC
250,FAIL
251,LIVE
252,FAIL
253,EXC
254,LIVE
255,EXC
256,LIVE
257,EXC
258,EXC
259,EXC
260,EXC
261,EXC
262,FAIL
263,EXC
264,EXC
265,LIVE
266,EXC
267,FAIL
268,LIVE
269,EXC
270,FAIL
271,LIVE
272,LIVE
273,FAIL
274,EXC
275,FAIL
276,LIVE
277,EXC
278,FAIL
279,FAIL
280,FAIL
281,FAIL
282,FAIL
283,FAIL
284,FAIL
285,FAIL
286,LIVE
287,LIVE
288,LIVE
289,FAIL
290,LIVE
291,LIVE
292,LIVE
293,LIVE
294,LIVE
295,LIVE
296,EXC
297,LIVE
298,EXC
299,EXC
300,EXC
301,LIVE
302,LIVE
303,EXC
304,EXC
305,LIVE
306,EXC
307,EXC
308,LIVE
309,EXC
310,EXC
311,EXC
312,FAIL
313,EXC
314,FAIL
315,FAIL
316,FAIL
317,FAIL
318,FAIL
319,FAIL
320,FAIL
321,FAIL
322,FAIL
323,EXC
324,FAIL
325,EXC
326,LIVE
327,EXC
328,EXC
329,EXC
330,EXC
331,LIVE
332,EXC
333,FAIL
334,FAIL
335,FAIL
336,FAIL
337,EXC
338,EXC
339,EXC
340,FAIL
341,EXC
342,FAIL
343,LIVE
344,LIVE
345,EXC
346,LIVE
347,LIVE
348,LIVE
349,LIVE
366,FAIL
367,FAIL
368,EXC
369,FAIL
370,FAIL
371,FAIL
372,FAIL
373,FAIL
374,FAIL
375,EXC
376,FAIL
377,FAIL
378,FAIL
379,FAIL
380,FAIL
381,FAIL
382,LIVE
383,LIVE
384,LIVE
385,EXC
386,EXC
387,FAIL
388,EXC
389,EXC
390,LIVE
391,FAIL
392,EXC
393,LIVE
394,FAIL
395,EXC
396,EXC
397,LIVE
398,LIVE
399,LIVE
400,EXC
401,LIVE
402,LIVE
403,FAIL
404,FAIL
405,LIVE
406,FAIL
407,FAIL
408,LIVE
409,LIVE
410,FAIL
411,FAIL
412,FAIL
413,FAIL
414,FAIL
415,EXC
416,LIVE
417,EXC
418,EXC
419,LIVE
420,EXC
421,EXC
422,EXC
423,EXC
424,EXC
425,EXC
426,EXC
427,EXC
428,EXC
429,EXC
430,EXC
431,LIVE
432,LIVE
433,EXC
434,LIVE
435,LIVE
436,LIVE
437,LIVE
438,EXC
439,LIVE
440,LIVE
441,LIVE
442,EXC
443,LIVE
444,LIVE
445,LIVE
446,LIVE
447,LIVE
448,LIVE
449,LIVE
450,LIVE
451,LIVE
452,LIVE
453,LIVE
454,LIVE
455,LIVE
456,LIVE
457,LIVE
458,EXC
459,EXC
460,EXC
461,EXC
462,EXC
463,EXC
464,EXC
465,EXC
466,EXC
467,EXC
468,LIVE
469,LIVE
470,EXC
471,LIVE
472,LIVE
473,LIVE
474,LIVE
475,LIVE
476,FAIL
477,EXC
478,LIVE
479,FAIL
480,LIVE
481,EXC
482,EXC
483,EXC
484,EXC
485,EXC
486,EXC
487,FAIL
488,FAIL
489,EXC
490,EXC
491,EXC
492,EXC
493,EXC
494,FAIL
495,FAIL
496,LIVE
497,FAIL
498,FAIL
499,LIVE
500,LIVE
501,LIVE
502,FAIL
503,FAIL
504,LIVE
505,FAIL
506,LIVE
507,LIVE
508,FAIL
509,FAIL
510,FAIL
511,LIVE
512,LIVE
513,EXC
514,LIVE
515,LIVE
516,LIVE
517,LIVE
534,FAIL
535,FAIL
536,FAIL
537,FAIL
538,FAIL
