MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,EXC
10,EXC
11,FAIL
12,EXC
13,EXC
14,FAIL
15,LIVE
16,FAIL
17,FAIL
18,EXC
19,EXC
20,EXC
21,FAIL
22,EXC
23,EXC
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,EXC
30,EXC
31,EXC
32,FAIL
33,FAIL
34,LIVE
35,FAIL
36,EXC
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,EXC
47,LIVE
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,EXC
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,FAIL
58,EXC
59,FAIL
60,LIVE
61,LIVE
62,FAIL
63,FAIL
64,EXC
65,FAIL
66,FAIL
67,LIVE
68,LIVE
69,LIVE
70,FAIL
71,FAIL
72,FAIL
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,EXC
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,LIVE
93,EXC
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,LIVE
99,LIVE
100,LIVE
101,LIVE
102,LIVE
103,LIVE
104,LIVE
105,LIVE
106,LIVE
107,LIVE
108,LIVE
109,EXC
110,LIVE
111,LIVE
112,EXC
113,LIVE
114,LIVE
115,EXC
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,EXC
122,LIVE
123,LIVE
124,EXC
125,LIVE
126,LIVE
127,EXC
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,LIVE
133,EXC
134,LIVE
135,LIVE
136,EXC
137,LIVE
138,LIVE
139,EXC
140,LIVE
141,LIVE
142,LIVE
143,LIVE
144,LIVE
145,EXC
146,LIVE
147,LIVE
148,EXC
149,LIVE
150,LIVE
151,EXC
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,LIVE
157,EXC
158,LIVE
159,LIVE
160,EXC
161,LIVE
162,LIVE
163,EXC
164,LIVE
165,LIVE
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,LIVE
174,LIVE
175,LIVE
176,LIVE
177,LIVE
178,LIVE
179,LIVE
180,LIVE
181,LIVE
182,LIVE
183,LIVE
184,LIVE
185,LIVE
186,LIVE
187,LIVE
188,LIVE
189,LIVE
190,LIVE
191,LIVE
192,LIVE
193,LIVE
194,LIVE
195,LIVE
196,LIVE
197,LIVE
198,LIVE
199,LIVE
200,LIVE
201,LIVE
202,LIVE
203,LIVE
204,LIVE
205,LIVE
206,LIVE
207,LIVE
208,LIVE
209,LIVE
210,LIVE
211,LIVE
212,LIVE
213,LIVE
214,EXC
215,LIVE
216,LIVE
217,EXC
218,LIVE
219,LIVE
220,EXC
221,LIVE
222,LIVE
223,LIVE
224,LIVE
225,LIVE
226,EXC
227,LIVE
228,LIVE
229,EXC
230,LIVE
231,FAIL
232,FAIL
233,FAIL
234,FAIL
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,FAIL
240,FAIL
241,FAIL
242,FAIL
243,FAIL
244,FAIL
245,FAIL
246,FAIL
247,FAIL
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,FAIL
256,FAIL
257,FAIL
258,LIVE
259,FAIL
261,FAIL
262,FAIL
263,FAIL
264,FAIL
265,EXC
266,EXC
267,EXC
268,FAIL
269,EXC
270,FAIL
271,EXC
272,EXC
273,EXC
274,EXC
275,EXC
276,FAIL
277,EXC
278,FAIL
279,EXC
280,EXC
281,EXC
282,EXC
283,EXC
284,FAIL
285,EXC
286,FAIL
287,EXC
288,EXC
289,EXC
290,EXC
291,FAIL
292,EXC
293,EXC
294,EXC
295,EXC
296,FAIL
297,EXC
298,EXC
299,FAIL
300,FAIL
301,EXC
302,FAIL
303,EXC
304,LIVE
305,FAIL
306,EXC
307,LIVE
308,EXC
309,FAIL
310,EXC
311,FAIL
312,EXC
