MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,LIVE
7,LIVE
8,LIVE
9,LIVE
10,LIVE
11,LIVE
12,LIVE
13,LIVE
14,FAIL
15,FAIL
16,LIVE
17,LIVE
18,FAIL
19,FAIL
20,LIVE
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,FAIL
32,LIVE
33,FAIL
34,LIVE
35,LIVE
36,EXC
37,FAIL
38,LIVE
39,FAIL
40,EXC
41,LIVE
42,EXC
43,LIVE
44,EXC
45,EXC
46,LIVE
47,LIVE
48,LIVE
49,FAIL
50,LIVE
51,EXC
52,LIVE
53,LIVE
54,FAIL
55,LIVE
56,LIVE
57,EXC
58,LIVE
59,EXC
60,LIVE
61,EXC
62,LIVE
63,EXC
64,EXC
65,LIVE
66,EXC
67,LIVE
72,LIVE
73,LIVE
74,LIVE
75,EXC
76,LIVE
89,LIVE
90,EXC
91,LIVE
92,LIVE
93,EXC
94,EXC
95,EXC
96,LIVE
97,LIVE
98,LIVE
99,FAIL
100,FAIL
101,FAIL
102,LIVE
103,FAIL
109,LIVE
110,FAIL
111,FAIL
112,FAIL
113,EXC
114,FAIL
