MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,FAIL
35,FAIL
36,LIVE
37,LIVE
38,LIVE
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,FAIL
47,EXC
48,FAIL
49,FAIL
50,EXC
53,LIVE
56,LIVE
57,EXC
58,EXC
59,EXC
60,EXC
61,FAIL
62,LIVE
63,FAIL
64,FAIL
65,FAIL
66,EXC
67,EXC
68,FAIL
69,EXC
70,EXC
71,EXC
72,EXC
73,EXC
74,EXC
75,EXC
76,FAIL
77,FAIL
78,EXC
79,FAIL
80,FAIL
81,FAIL
82,LIVE
83,EXC
84,LIVE
85,EXC
86,EXC
87,LIVE
88,LIVE
89,LIVE
90,EXC
91,FAIL
92,EXC
93,LIVE
94,EXC
95,EXC
96,LIVE
97,EXC
98,LIVE
99,EXC
100,EXC
101,EXC
102,LIVE
103,LIVE
104,LIVE
105,LIVE
106,LIVE
107,LIVE
108,LIVE
109,EXC
110,LIVE
111,LIVE
112,EXC
113,LIVE
114,EXC
115,EXC
116,LIVE
117,LIVE
118,LIVE
119,EXC
120,LIVE
121,FAIL
122,FAIL
123,EXC
124,EXC
125,EXC
126,FAIL
127,FAIL
128,EXC
129,LIVE
130,FAIL
131,EXC
132,FAIL
133,LIVE
134,LIVE
135,LIVE
136,EXC
137,LIVE
138,EXC
139,EXC
140,LIVE
141,EXC
142,EXC
143,EXC
144,LIVE
145,EXC
146,LIVE
147,LIVE
148,LIVE
149,EXC
150,EXC
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,LIVE
157,LIVE
158,EXC
159,EXC
160,LIVE
161,EXC
162,LIVE
163,EXC
164,EXC
165,EXC
166,EXC
167,EXC
168,EXC
169,EXC
170,EXC
171,LIVE
172,LIVE
173,LIVE
174,LIVE
175,EXC
