MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,FAIL
3,FAIL
4,FAIL
5,LIVE
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,LIVE
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,FAIL
47,EXC
48,FAIL
49,FAIL
50,EXC
53,LIVE
56,LIVE
57,EXC
58,EXC
59,EXC
60,FAIL
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,FAIL
67,LIVE
68,FAIL
69,FAIL
70,LIVE
71,FAIL
72,FAIL
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,LIVE
78,LIVE
79,FAIL
80,FAIL
81,FAIL
82,LIVE
83,LIVE
84,EXC
85,EXC
86,EXC
87,EXC
88,EXC
89,EXC
90,EXC
91,FAIL
92,EXC
93,EXC
94,LIVE
95,EXC
96,EXC
97,LIVE
98,EXC
99,LIVE
100,LIVE
101,LIVE
102,EXC
103,EXC
104,LIVE
105,EXC
106,EXC
107,LIVE
108,LIVE
109,LIVE
110,EXC
111,LIVE
112,EXC
113,LIVE
114,EXC
115,EXC
116,FAIL
117,EXC
118,LIVE
119,EXC
120,EXC
121,EXC
122,LIVE
123,EXC
124,LIVE
125,LIVE
126,EXC
127,LIVE
128,LIVE
129,EXC
130,LIVE
131,LIVE
132,EXC
133,LIVE
134,EXC
135,EXC
136,LIVE
137,LIVE
138,LIVE
139,LIVE
140,EXC
141,LIVE
142,FAIL
143,LIVE
144,EXC
145,LIVE
146,EXC
147,FAIL
148,FAIL
149,EXC
150,LIVE
151,FAIL
152,EXC
153,EXC
154,LIVE
155,LIVE
156,LIVE
157,EXC
158,LIVE
159,EXC
160,EXC
161,LIVE
162,EXC
163,EXC
164,EXC
165,LIVE
166,EXC
167,LIVE
168,LIVE
169,LIVE
170,EXC
171,EXC
172,LIVE
173,LIVE
174,LIVE
175,LIVE
176,LIVE
177,LIVE
178,LIVE
179,EXC
180,EXC
181,LIVE
182,EXC
183,LIVE
184,EXC
185,EXC
186,EXC
187,EXC
188,EXC
189,EXC
190,EXC
191,EXC
192,LIVE
193,LIVE
194,LIVE
195,LIVE
196,EXC
197,EXC
198,LIVE
199,EXC
200,LIVE
201,LIVE
202,EXC
203,EXC
204,LIVE
205,LIVE
206,EXC
207,EXC
208,EXC
209,FAIL
210,EXC
211,FAIL
212,LIVE
213,LIVE
214,EXC
215,EXC
216,EXC
217,FAIL
218,EXC
219,EXC
220,LIVE
221,LIVE
222,LIVE
223,FAIL
224,FAIL
225,LIVE
226,FAIL
227,LIVE
228,LIVE
229,FAIL
230,LIVE
231,LIVE
232,LIVE
233,FAIL
234,LIVE
235,LIVE
236,LIVE
237,FAIL
238,LIVE
239,LIVE
240,LIVE
241,LIVE
242,FAIL
243,LIVE
244,LIVE
245,LIVE
246,FAIL
247,LIVE
248,LIVE
249,LIVE
250,FAIL
251,FAIL
252,LIVE
253,EXC
254,FAIL
255,LIVE
256,EXC
257,LIVE
258,EXC
259,LIVE
260,FAIL
261,LIVE
262,FAIL
263,EXC
264,FAIL
265,LIVE
266,LIVE
267,LIVE
268,LIVE
269,LIVE
270,LIVE
271,FAIL
272,FAIL
273,EXC
274,FAIL
275,FAIL
276,EXC
277,LIVE
278,FAIL
279,LIVE
280,LIVE
281,FAIL
282,LIVE
283,LIVE
284,FAIL
285,LIVE
286,LIVE
287,LIVE
288,FAIL
289,FAIL
290,LIVE
291,LIVE
292,FAIL
293,FAIL
294,LIVE
295,LIVE
296,FAIL
297,LIVE
298,LIVE
299,LIVE
300,LIVE
301,LIVE
302,FAIL
303,LIVE
304,LIVE
305,FAIL
306,FAIL
307,EXC
308,FAIL
309,EXC
310,EXC
311,EXC
312,EXC
313,EXC
314,EXC
315,LIVE
316,EXC
317,LIVE
318,LIVE
319,EXC
320,LIVE
321,LIVE
322,FAIL
323,LIVE
324,FAIL
325,LIVE
326,LIVE
327,LIVE
328,FAIL
329,EXC
330,EXC
331,EXC
332,EXC
333,EXC
334,EXC
335,EXC
336,EXC
337,EXC
338,LIVE
339,FAIL
340,EXC
341,FAIL
342,FAIL
343,FAIL
344,EXC
345,FAIL
346,LIVE
347,LIVE
348,LIVE
349,EXC
350,FAIL
351,FAIL
352,LIVE
353,LIVE
354,EXC
355,LIVE
356,LIVE
357,EXC
358,FAIL
359,FAIL
360,LIVE
361,LIVE
362,EXC
363,EXC
364,EXC
365,EXC
366,EXC
367,EXC
368,LIVE
369,EXC
370,FAIL
371,EXC
372,FAIL
373,EXC
374,LIVE
375,EXC
376,EXC
377,FAIL
378,LIVE
379,FAIL
380,LIVE
381,EXC
382,FAIL
383,EXC
384,FAIL
385,EXC
386,EXC
387,FAIL
388,EXC
389,LIVE
390,EXC
391,LIVE
392,EXC
393,FAIL
394,FAIL
395,LIVE
396,FAIL
397,FAIL
398,LIVE
399,FAIL
400,EXC
401,LIVE
402,EXC
403,LIVE
404,EXC
405,FAIL
406,FAIL
407,LIVE
408,FAIL
409,FAIL
410,LIVE
411,LIVE
412,EXC
413,LIVE
414,EXC
415,LIVE
416,EXC
417,FAIL
418,FAIL
419,LIVE
420,FAIL
421,FAIL
422,LIVE
423,LIVE
424,EXC
425,LIVE
426,EXC
427,LIVE
428,EXC
429,FAIL
430,FAIL
431,LIVE
432,FAIL
433,FAIL
434,LIVE
435,EXC
436,EXC
437,LIVE
438,EXC
439,LIVE
440,EXC
441,FAIL
442,FAIL
443,FAIL
444,FAIL
445,LIVE
446,FAIL
447,FAIL
448,LIVE
449,LIVE
450,EXC
451,LIVE
452,EXC
453,LIVE
454,EXC
455,FAIL
456,FAIL
457,FAIL
458,FAIL
459,LIVE
460,FAIL
461,FAIL
462,EXC
463,EXC
464,EXC
465,LIVE
466,EXC
467,LIVE
468,EXC
469,FAIL
470,FAIL
471,LIVE
472,FAIL
473,FAIL
474,LIVE
475,LIVE
476,EXC
477,LIVE
478,EXC
479,LIVE
480,EXC
481,FAIL
482,FAIL
483,LIVE
484,FAIL
485,FAIL
486,LIVE
487,LIVE
488,EXC
489,LIVE
490,EXC
491,LIVE
492,EXC
493,FAIL
494,FAIL
495,LIVE
496,FAIL
497,FAIL
498,LIVE
499,LIVE
500,EXC
501,LIVE
502,EXC
503,LIVE
504,EXC
505,FAIL
506,FAIL
507,LIVE
508,FAIL
509,FAIL
510,LIVE
511,EXC
512,EXC
513,LIVE
514,EXC
515,LIVE
516,EXC
517,FAIL
518,FAIL
519,FAIL
520,FAIL
521,LIVE
522,FAIL
523,FAIL
524,LIVE
525,LIVE
526,EXC
527,LIVE
528,EXC
