MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,EXC
3,FAIL
4,EXC
5,FAIL
6,FAIL
7,LIVE
8,FAIL
9,FAIL
10,TIME
11,FAIL
12,EXC
13,FAIL
14,FAIL
15,LIVE
16,FAIL
17,FAIL
18,TIME
19,LIVE
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,LIVE
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,EXC
41,LIVE
42,LIVE
43,LIVE
44,EXC
45,FAIL
46,LIVE
47,EXC
48,EXC
49,EXC
50,FAIL
51,EXC
52,FAIL
53,EXC
54,EXC
55,FAIL
56,FAIL
57,FAIL
58,FAIL
59,EXC
60,FAIL
61,EXC
62,LIVE
63,EXC
64,FAIL
65,EXC
66,EXC
67,FAIL
77,FAIL
78,LIVE
79,EXC
80,LIVE
81,EXC
82,EXC
83,EXC
