MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,EXC
7,EXC
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,LIVE
21,LIVE
22,EXC
23,EXC
24,EXC
25,FAIL
26,EXC
27,EXC
28,EXC
29,FAIL
30,EXC
31,EXC
32,FAIL
33,FAIL
34,EXC
35,EXC
36,FAIL
37,FAIL
38,EXC
39,EXC
40,FAIL
41,FAIL
42,FAIL
43,EXC
44,EXC
45,FAIL
46,FAIL
47,EXC
48,LIVE
49,EXC
50,EXC
51,EXC
52,LIVE
53,EXC
54,EXC
55,LIVE
56,FAIL
57,EXC
58,EXC
59,LIVE
60,EXC
61,LIVE
62,FAIL
63,EXC
64,EXC
65,LIVE
66,LIVE
67,FAIL
68,LIVE
69,FAIL
70,FAIL
71,LIVE
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,LIVE
87,EXC
88,EXC
89,EXC
90,FAIL
91,FAIL
92,LIVE
93,FAIL
94,FAIL
95,FAIL
96,EXC
97,EXC
98,FAIL
99,EXC
100,EXC
101,FAIL
102,EXC
103,EXC
104,EXC
105,EXC
106,EXC
107,EXC
108,EXC
109,EXC
110,EXC
111,EXC
112,FAIL
