MutantNo,[FAIL | TIME | EXC | LIVE]
2,FAIL
3,EXC
4,LIVE
5,EXC
6,FAIL
7,FAIL
8,LIVE
9,LIVE
10,LIVE
11,FAIL
12,LIVE
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,EXC
22,EXC
23,EXC
24,FAIL
25,FAIL
26,EXC
27,EXC
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,FAIL
33,LIVE
34,FAIL
35,FAIL
36,LIVE
37,LIVE
38,LIVE
39,FAIL
40,FAIL
41,LIVE
42,LIVE
43,LIVE
44,EXC
45,EXC
46,LIVE
47,EXC
48,LIVE
49,LIVE
50,LIVE
51,EXC
52,EXC
53,EXC
54,FAIL
55,FAIL
56,EXC
57,FAIL
58,FAIL
59,EXC
60,LIVE
61,EXC
62,EXC
63,FAIL
64,LIVE
65,EXC
66,FAIL
67,LIVE
68,LIVE
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,LIVE
77,EXC
78,FAIL
79,EXC
80,EXC
81,FAIL
82,EXC
83,LIVE
84,FAIL
85,LIVE
86,FAIL
87,FAIL
88,EXC
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,FAIL
95,FAIL
96,FAIL
97,EXC
98,LIVE
99,LIVE
100,EXC
101,LIVE
102,EXC
103,LIVE
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,LIVE
109,EXC
110,FAIL
113,LIVE
114,LIVE
115,LIVE
116,LIVE
117,LIVE
118,EXC
119,LIVE
120,EXC
121,EXC
122,EXC
123,LIVE
124,LIVE
125,EXC
126,LIVE
127,LIVE
128,LIVE
129,EXC
130,EXC
131,LIVE
132,LIVE
133,LIVE
134,LIVE
135,LIVE
136,LIVE
137,LIVE
138,EXC
139,EXC
140,LIVE
141,LIVE
142,LIVE
143,LIVE
144,LIVE
145,EXC
146,LIVE
147,LIVE
148,EXC
149,LIVE
150,LIVE
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,LIVE
157,LIVE
158,LIVE
159,LIVE
160,LIVE
161,LIVE
162,LIVE
163,LIVE
164,LIVE
165,LIVE
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,LIVE
174,LIVE
175,LIVE
176,LIVE
177,LIVE
178,EXC
179,EXC
180,EXC
181,EXC
182,EXC
183,EXC
184,FAIL
185,FAIL
186,EXC
187,FAIL
188,FAIL
189,FAIL
190,EXC
191,EXC
192,EXC
193,EXC
194,FAIL
195,EXC
196,EXC
197,EXC
198,FAIL
199,FAIL
200,LIVE
201,FAIL
202,FAIL
203,FAIL
204,EXC
205,EXC
206,EXC
207,LIVE
208,FAIL
209,FAIL
210,LIVE
211,FAIL
212,FAIL
213,FAIL
214,FAIL
215,FAIL
216,LIVE
217,FAIL
218,LIVE
219,LIVE
220,LIVE
221,LIVE
222,LIVE
223,LIVE
224,LIVE
225,EXC
226,LIVE
227,FAIL
228,EXC
229,EXC
230,EXC
231,EXC
232,EXC
233,EXC
234,FAIL
235,EXC
236,EXC
237,EXC
238,FAIL
239,FAIL
240,FAIL
241,LIVE
242,FAIL
243,FAIL
244,LIVE
245,EXC
246,LIVE
247,FAIL
248,EXC
249,EXC
250,FAIL
251,LIVE
252,FAIL
253,LIVE
254,LIVE
255,EXC
256,LIVE
257,EXC
258,LIVE
259,EXC
260,LIVE
261,EXC
262,FAIL
263,EXC
264,EXC
265,LIVE
266,EXC
267,FAIL
268,LIVE
269,EXC
270,FAIL
271,LIVE
272,LIVE
273,FAIL
274,EXC
275,LIVE
276,FAIL
277,EXC
278,LIVE
279,LIVE
280,FAIL
281,FAIL
282,FAIL
283,FAIL
284,FAIL
285,FAIL
286,FAIL
287,FAIL
288,EXC
289,FAIL
290,FAIL
291,LIVE
292,EXC
293,EXC
294,EXC
295,FAIL
296,EXC
297,FAIL
298,EXC
299,EXC
300,EXC
301,EXC
302,LIVE
303,EXC
304,LIVE
305,LIVE
306,EXC
307,EXC
308,LIVE
309,EXC
310,EXC
311,EXC
312,EXC
313,EXC
314,FAIL
315,FAIL
316,FAIL
317,FAIL
318,FAIL
319,EXC
320,EXC
321,EXC
322,FAIL
323,EXC
324,FAIL
325,EXC
326,LIVE
327,EXC
328,EXC
329,EXC
330,FAIL
331,EXC
332,EXC
333,FAIL
334,EXC
335,FAIL
336,FAIL
337,EXC
338,EXC
339,EXC
340,EXC
341,EXC
342,FAIL
343,LIVE
344,LIVE
345,LIVE
346,LIVE
347,LIVE
348,LIVE
349,LIVE
366,FAIL
367,FAIL
368,EXC
369,FAIL
370,FAIL
371,FAIL
372,FAIL
373,EXC
374,EXC
375,EXC
376,EXC
377,EXC
378,EXC
379,FAIL
380,FAIL
381,EXC
382,LIVE
383,LIVE
384,LIVE
385,EXC
386,LIVE
387,FAIL
388,EXC
389,EXC
390,LIVE
391,EXC
392,EXC
393,LIVE
394,EXC
395,EXC
396,EXC
397,LIVE
398,LIVE
399,EXC
400,EXC
401,LIVE
402,LIVE
403,EXC
404,FAIL
405,LIVE
406,FAIL
407,EXC
408,LIVE
409,LIVE
410,FAIL
411,FAIL
412,FAIL
413,FAIL
414,FAIL
415,EXC
416,EXC
417,EXC
418,EXC
419,EXC
420,EXC
421,EXC
422,EXC
423,EXC
424,EXC
425,EXC
426,EXC
427,EXC
428,EXC
429,EXC
430,EXC
431,LIVE
432,LIVE
433,EXC
434,LIVE
435,LIVE
436,LIVE
437,LIVE
438,EXC
439,LIVE
440,LIVE
441,LIVE
442,EXC
443,LIVE
444,LIVE
445,LIVE
446,LIVE
447,LIVE
448,LIVE
449,LIVE
450,LIVE
451,LIVE
452,LIVE
453,LIVE
454,LIVE
455,LIVE
456,LIVE
457,LIVE
458,EXC
459,EXC
460,EXC
461,EXC
462,EXC
463,EXC
464,EXC
465,EXC
466,EXC
467,EXC
468,LIVE
469,LIVE
470,EXC
471,LIVE
472,LIVE
473,LIVE
474,LIVE
475,LIVE
476,LIVE
477,EXC
478,LIVE
479,LIVE
480,LIVE
481,EXC
482,EXC
483,EXC
484,EXC
485,EXC
486,EXC
487,EXC
488,FAIL
489,EXC
490,EXC
491,EXC
492,EXC
493,EXC
494,EXC
495,FAIL
496,LIVE
497,FAIL
498,EXC
499,LIVE
500,LIVE
501,LIVE
502,EXC
503,FAIL
504,LIVE
505,EXC
506,LIVE
507,LIVE
508,FAIL
509,LIVE
510,LIVE
511,LIVE
512,LIVE
513,EXC
514,LIVE
515,LIVE
516,LIVE
517,LIVE
534,FAIL
535,FAIL
536,FAIL
537,FAIL
538,FAIL
