MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,LIVE
3,LIVE
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,LIVE
9,FAIL
10,FAIL
11,LIVE
12,FAIL
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,FAIL
33,FAIL
34,LIVE
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,FAIL
47,EXC
48,LIVE
49,LIVE
50,EXC
53,LIVE
56,LIVE
57,EXC
58,EXC
59,EXC
60,EXC
61,FAIL
62,LIVE
63,FAIL
64,FAIL
65,FAIL
66,EXC
67,EXC
68,FAIL
69,EXC
70,EXC
71,EXC
72,EXC
73,EXC
74,EXC
75,FAIL
76,EXC
77,EXC
78,EXC
79,EXC
80,EXC
81,EXC
82,LIVE
83,EXC
84,LIVE
85,EXC
86,EXC
87,LIVE
88,LIVE
89,LIVE
90,EXC
91,FAIL
92,FAIL
93,LIVE
94,EXC
95,FAIL
96,LIVE
97,EXC
98,LIVE
99,EXC
100,EXC
101,FAIL
102,LIVE
103,EXC
104,LIVE
105,LIVE
106,EXC
107,LIVE
108,LIVE
109,EXC
110,LIVE
111,LIVE
112,EXC
113,LIVE
114,EXC
115,EXC
116,LIVE
117,LIVE
118,LIVE
119,EXC
120,LIVE
121,EXC
122,LIVE
123,EXC
124,LIVE
125,EXC
126,FAIL
127,FAIL
128,EXC
129,LIVE
130,FAIL
131,EXC
132,EXC
133,LIVE
134,LIVE
135,LIVE
136,EXC
137,LIVE
138,EXC
139,EXC
140,LIVE
141,EXC
142,EXC
143,EXC
144,LIVE
145,EXC
146,LIVE
147,LIVE
148,LIVE
149,EXC
150,EXC
151,LIVE
152,LIVE
153,LIVE
154,LIVE
155,LIVE
156,LIVE
157,LIVE
158,EXC
159,EXC
160,LIVE
161,EXC
162,LIVE
163,EXC
164,EXC
165,EXC
166,EXC
167,EXC
168,EXC
169,EXC
170,EXC
171,LIVE
172,LIVE
173,LIVE
174,LIVE
175,EXC
176,EXC
177,LIVE
178,EXC
179,LIVE
180,LIVE
181,EXC
182,EXC
183,LIVE
184,LIVE
185,EXC
186,EXC
187,EXC
188,FAIL
189,EXC
190,FAIL
191,LIVE
192,LIVE
193,EXC
194,EXC
195,FAIL
196,FAIL
197,EXC
198,FAIL
199,LIVE
200,LIVE
201,LIVE
202,FAIL
203,LIVE
204,LIVE
205,LIVE
206,LIVE
207,LIVE
208,FAIL
209,LIVE
210,LIVE
211,FAIL
212,FAIL
213,LIVE
214,LIVE
215,LIVE
216,FAIL
217,LIVE
218,LIVE
219,LIVE
220,LIVE
221,FAIL
222,LIVE
223,LIVE
224,FAIL
225,FAIL
226,LIVE
227,LIVE
228,LIVE
229,FAIL
230,EXC
231,LIVE
232,LIVE
233,EXC
234,LIVE
235,LIVE
236,LIVE
237,LIVE
