MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,LIVE
40,LIVE
41,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,FAIL
47,EXC
48,LIVE
49,LIVE
50,EXC
53,LIVE
56,LIVE
57,EXC
58,EXC
59,EXC
60,EXC
61,LIVE
62,FAIL
63,EXC
64,FAIL
65,LIVE
66,EXC
67,LIVE
68,EXC
69,FAIL
70,LIVE
71,LIVE
72,LIVE
73,LIVE
74,LIVE
75,FAIL
76,FAIL
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,EXC
85,EXC
86,FAIL
87,EXC
88,EXC
89,EXC
90,EXC
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,EXC
97,FAIL
98,FAIL
99,FAIL
100,LIVE
101,LIVE
102,LIVE
103,EXC
104,LIVE
105,EXC
106,EXC
107,LIVE
108,FAIL
109,LIVE
110,EXC
111,FAIL
112,EXC
113,LIVE
114,EXC
115,EXC
116,LIVE
117,EXC
118,LIVE
119,EXC
120,EXC
121,EXC
122,LIVE
123,EXC
124,LIVE
125,LIVE
126,EXC
127,LIVE
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,LIVE
133,LIVE
134,EXC
135,EXC
136,LIVE
137,LIVE
138,LIVE
139,LIVE
140,EXC
141,LIVE
142,FAIL
143,LIVE
144,EXC
145,EXC
146,EXC
147,FAIL
148,FAIL
149,EXC
150,LIVE
151,FAIL
152,EXC
153,EXC
154,LIVE
155,LIVE
156,LIVE
157,EXC
158,LIVE
159,EXC
160,EXC
161,LIVE
162,EXC
163,EXC
164,EXC
165,LIVE
166,EXC
167,LIVE
168,LIVE
169,LIVE
170,EXC
171,EXC
172,LIVE
173,LIVE
