fault_version,type,rate,killed,unique_mut_killed,original_TS_mut_score,increased_killed,kloc
Cli-37b,crossover,0.55,13,13,76.5,3.5,1.0
Cli-37b,crossover,0.6,18,18,76.5,4.9,0.9
Cli-37b,crossover,0.65,16,16,76.5,4.3,0.8
Cli-37b,crossover,0.7,26,26,76.5,7.0,0.9
Cli-37b,crossover,0.75,9,9,76.5,2.4,1.0
Cli-37b,mutation,0.55,10,10,76.5,2.7,0.9
Cli-37b,mutation,0.6,19,19,76.5,5.1,0.9
Cli-37b,mutation,0.65,16,16,76.5,4.3,1.0
Cli-37b,mutation,0.7,18,18,76.5,4.9,1.1
Cli-37b,mutation,0.75,13,13,76.5,3.5,1.0
Cli-38b,crossover,0.55,8,8,76.1,2.1,1.0
Cli-38b,crossover,0.6,11,11,76.1,2.9,0.9
Cli-38b,crossover,0.65,15,15,76.1,4.0,1.1
Cli-38b,crossover,0.7,13,13,76.1,3.5,1.0
Cli-38b,crossover,0.75,12,12,76.1,3.2,1.0
Cli-38b,mutation,0.6,15,15,76.1,4.0,1.1
Cli-38b,mutation,0.65,7,7,76.1,1.9,0.9
Cli-38b,mutation,0.7,7,7,76.1,1.9,0.7
Cli-38b,mutation,0.75,6,6,76.1,1.6,0.9
Cli-39b,crossover,0.55,1,1,14.3,7.1,0.2
Cli-39b,crossover,0.6,1,1,14.3,7.1,0.2
Cli-39b,crossover,0.65,1,1,14.3,7.1,0.1
Cli-39b,crossover,0.7,1,1,14.3,7.1,0.2
Cli-39b,crossover,0.75,1,1,14.3,7.1,0.2
Cli-39b,mutation,0.55,1,1,14.3,7.1,0.1
Cli-39b,mutation,0.6,1,1,14.3,7.1,0.2
Cli-39b,mutation,0.65,1,1,14.3,7.1,0.2
Cli-39b,mutation,0.7,1,1,14.3,7.1,0.1
Cli-39b,mutation,0.75,1,1,14.3,7.1,0.2
Codec-11b,crossover,0.55,18,18,63.9,21.7,0.1
Codec-11b,crossover,0.6,20,20,63.9,24.1,0.1
Codec-11b,crossover,0.65,20,20,63.9,24.1,0.1
Codec-11b,crossover,0.7,20,20,63.9,24.1,0.1
Codec-11b,crossover,0.75,18,18,63.9,21.7,0.1
Codec-11b,mutation,0.55,18,18,63.9,21.7,0.1
Codec-11b,mutation,0.6,20,20,63.9,24.1,0.1
Codec-11b,mutation,0.65,20,20,63.9,24.1,0.1
Codec-11b,mutation,0.7,20,20,63.9,24.1,0.1
Codec-11b,mutation,0.75,20,20,63.9,24.1,0.1
Codec-17b,crossover,0.55,8,8,43.5,34.8,0.1
Codec-17b,crossover,0.6,7,7,43.5,30.4,0.1
Codec-17b,crossover,0.65,9,9,43.5,39.1,0.1
Codec-17b,crossover,0.7,8,8,43.5,34.8,0.1
Codec-17b,crossover,0.75,8,8,43.5,34.8,0.1
Codec-17b,mutation,0.55,9,9,43.5,39.1,0.1
Codec-17b,mutation,0.6,6,6,43.5,26.1,0.1
Codec-17b,mutation,0.65,7,7,43.5,30.4,0.1
Codec-17b,mutation,0.75,6,6,43.5,26.1,0.1
Compress-34b,crossover,0.55,41,41,48.2,36.6,0.1
Compress-34b,crossover,0.6,36,36,48.2,32.1,0.1
Compress-34b,crossover,0.65,35,35,48.2,31.2,0.1
Compress-34b,crossover,0.7,34,34,48.2,30.4,0.1
Compress-34b,crossover,0.75,40,40,48.2,35.7,0.1
Compress-34b,mutation,0.55,40,40,48.2,35.7,0.1
Compress-34b,mutation,0.6,43,43,48.2,38.4,0.1
Compress-34b,mutation,0.65,39,39,48.2,34.8,0.1
Compress-34b,mutation,0.7,37,37,48.2,33.0,0.1
Compress-34b,mutation,0.75,43,43,48.2,38.4,0.1
Compress-39b,crossover,0.55,0,0,32.1,0.0,0.2
Compress-39b,crossover,0.6,0,0,32.1,0.0,0.1
Compress-39b,crossover,0.65,60,60,32.1,53.6,1.0
Compress-39b,crossover,0.7,62,62,32.1,55.4,0.7
Compress-39b,crossover,0.75,61,61,32.1,54.5,0.9
Compress-39b,mutation,0.55,59,59,32.1,52.7,0.8
Compress-39b,mutation,0.6,60,60,32.1,53.6,0.8
Compress-39b,mutation,0.65,0,0,32.1,0.0,0.1
