MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,EXC
5,LIVE
6,LIVE
7,LIVE
8,EXC
9,FAIL
10,EXC
11,FAIL
12,FAIL
13,LIVE
14,EXC
15,LIVE
16,LIVE
17,LIVE
18,FAIL
19,LIVE
20,LIVE
21,LIVE
22,EXC
23,EXC
24,LIVE
25,EXC
26,EXC
27,LIVE
28,FAIL
29,EXC
30,EXC
31,EXC
32,FAIL
33,FAIL
34,EXC
35,FAIL
36,EXC
37,FAIL
38,EXC
39,FAIL
40,EXC
41,EXC
42,EXC
43,FAIL
44,FAIL
45,FAIL
46,EXC
47,EXC
48,EXC
49,LIVE
50,FAIL
51,EXC
52,FAIL
53,EXC
54,FAIL
55,EXC
56,FAIL
57,EXC
58,EXC
59,EXC
60,FAIL
61,FAIL
62,EXC
63,EXC
64,FAIL
65,EXC
66,EXC
67,LIVE
68,FAIL
69,EXC
70,FAIL
71,EXC
72,FAIL
73,EXC
74,FAIL
75,EXC
76,EXC
77,EXC
78,FAIL
79,EXC
